metric,cv_mean,cv_std,holdout
accuracy,0.7825,0.0004,0.782
average_precision,0.3903,0.0051,0.3914
balanced_accuracy,0.5042,0.002,0.503
f1,0.0206,0.0092,0.0159
precision,0.5886,0.0241,0.53
recall,0.0105,0.0047,0.0081
roc_auc,0.709,0.0044,0.7098
