Complaint ID,Product,Sub-product,Issue,Sub-issue,Company,Submitted via,Consumer complaint narrative,target_relief,predicted_label,predicted_proba,error_type,narrative_present,narrative_word_count,failure_category
6799356,Credit card or prepaid card,General-purpose credit card or charge card,Closing your account,Can't close your account,"Bread Financial Holdings, Inc.",Web,"This credit card was cancelled last year as I entered into a debt consolidation program. I paid off this credit card on XX/XX/2023, completely. I recently received a bill stating that I owed interest and fees. I have tried to explain the above to this company until my face has turned blue. Please tell them to reverse and cancel all fees and charges, the card had already been cancelled, I have NO CREDIT LIMIT and it was paid off by me in XX/XX/2023.",1,0,0.4999360727836865,false_negative,True,83,likely systematic minority-class miss
6541114,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"BANK OF AMERICA, NATIONAL ASSOCIATION",Web,"On XX/XX/2020, I noticed that I had lost my credit card. I immediately reported it lost and requested a new credit card from Bank of America. I received e-mail notification that a new card would be mailed to me. I did not receive one, and Bank of America did not put a freeze on the account. 

On XX/XX/2020, after the XXXX holiday, I logged into my Bank of America account online. There were in store charges in excess of {$3000.00} made during the holiday week on the card. I promptly called to report the fraud, to understand why the account had not been frozen, and why I had never received a new card in the mail. They were very apologetic, froze the account, and issued a new credit card number. They also opened a fraud dispute and temporarily credited my account. 

After 30 days, I received a notice saying that my fraud claim was denied because I had made purchases at these vendors in the past. However, that is not true. Whoever had my card spent ~ {$2000.00} at XXXX XXXX, which I had not been to in recent memory. In addition, {$600.00} at XXXX, and my phone provider was XXXX at the time. I explained the facts again, and the fraud agent opened an appeal case. 

After 30 additional days, I received a second notice that the claim was denied for the same reason. I called once more, and explained the facts. I did not have the card in my possession, as I had reported it lost prior to any of these in store purchases. The fraud agent then instructed me to file a police report, which I had not been instructed to do until this time. 

I then filed a local police report, and submitted it to the fraud department. Some time later, I received yet another notice that the claim was denied for the same reason as the first two times. 

Ultimately, I ended up paying for the fraudulent charges because it would be too expensive to hire legal counsel. It is aggravating that a very reputable financial institution would handle a fraud claim in this manner. I have since transitioned my core banking to a local credit union, and will soon close all accounts held with Bank of America because of how this claim was handled two years ago. I was recently made aware that I could file a complaint with the CFPB so that at least my experience would be on the record.",0,1,0.8374773971071117,false_positive,True,418,aggressive positive flag / ambiguous case
4139650,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,JPMORGAN CHASE & CO.,Web,Refuse to credit my account for refunded purchase,1,0,0.2449248335743842,false_negative,True,8,sparse-information edge case
