setting,accuracy,precision,recall,f1,balanced_accuracy,average_precision
default_0.50,0.7782,0.3745,0.613,0.4649,0.711,0.4131
best_f1_0.503,0.7808,0.3776,0.6085,0.466,0.7107,0.4131
