model_family,cv_mean_accuracy,cv_std_accuracy,cv_mean_average_precision,cv_std_average_precision,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_f1,cv_std_f1,holdout_accuracy,holdout_average_precision,holdout_roc_auc,holdout_recall,holdout_precision,holdout_f1
Random Forest,0.7818,0.0016,0.4072,0.0092,0.7974,0.0026,0.5751,0.0071,0.3739,0.0028,0.4532,0.0037,0.7816,0.4088,0.7981,0.5839,0.375,0.4567
Logistic Regression,0.6842,0.003,0.3816,0.0049,0.789,0.0034,0.7675,0.0102,0.3017,0.003,0.4331,0.0044,0.6817,0.3915,0.7901,0.7636,0.2992,0.4299
Support Vector Machine,0.6761,0.0017,0.3815,0.0049,0.7891,0.0036,0.7772,0.0101,0.2972,0.0023,0.43,0.0038,0.6745,0.3924,0.7901,0.7726,0.2954,0.4274
KNN,0.7361,0.0116,0.2609,0.0149,0.6737,0.0132,0.4084,0.011,0.2737,0.0162,0.3276,0.0146,0.7329,0.257,0.6758,0.4124,0.2706,0.3268
