max_depth,min_samples_leaf,cv_mean_f1,cv_mean_precision,cv_mean_recall
None,2,0.4014,0.322,0.5333
None,5,0.3993,0.289,0.6464
22,2,0.3964,0.2836,0.6589
22,5,0.3903,0.2691,0.7111
None,10,0.3902,0.2692,0.7095
14,2,0.382,0.2568,0.7459
22,10,0.3805,0.2573,0.7305
14,5,0.3804,0.2537,0.7607
14,10,0.3753,0.2481,0.7717
