model_family,strategy,cv_mean_accuracy,cv_std_accuracy,cv_mean_average_precision,cv_std_average_precision,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_f1,cv_std_f1,cv_mean_balanced_accuracy,cv_std_balanced_accuracy,holdout_accuracy,holdout_average_precision,holdout_roc_auc,holdout_recall,holdout_precision,holdout_f1,holdout_balanced_accuracy
Dummy Stratified,stratified,0.7360208333333335,0.0017146731952960164,0.15745976918118454,0.0008749594771772911,0.5009059473341633,0.0032357308724278756,0.1579854208084824,0.00545422885183625,0.15872170439414113,0.005479648027577162,0.15835270674194618,0.005466908892342015,0.5009059473341633,0.0032357308724278756,0.730875,0.15578824934942567,0.4942956219765456,0.14921812880996554,0.14769150052465896,0.14845088991430455,0.49429562197654553
Dummy Most Frequent,most_frequent,0.8428125,0.0,0.1571875,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.8427916666666667,0.15720833333333334,0.5,0.0,0.0,0.0,0.5
