setting,accuracy,precision,recall,f1,balanced_accuracy,average_precision
default_0.50,0.7933,0.3235,0.6035,0.4212,0.7119,0.3645
best_f1_0.480,0.7827,0.3176,0.6469,0.426,0.7245,0.3645
