model_family,best_params,cv_mean_accuracy,cv_std_accuracy,cv_mean_average_precision,cv_std_average_precision,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_f1,cv_std_f1,cv_mean_balanced_accuracy,cv_std_balanced_accuracy,holdout_accuracy,holdout_average_precision,holdout_roc_auc,holdout_recall,holdout_precision,holdout_f1,holdout_balanced_accuracy
Random Forest,"{'model__max_depth': 20, 'model__max_features': 0.5, 'model__min_samples_leaf': 20}",0.9758333333333333,0.0018197889834935608,0.045856700683516605,0.012207921601256052,0.694505577530008,0.03877067456849717,0.12265356265356267,0.027441177011382704,0.0926503440662166,0.02394021840071958,0.1052521262789238,0.024978826454157995,0.5542239699188408,0.013843548217691038,0.9740833333333333,0.03117618310198609,0.6738446238017393,0.10144927536231885,0.06965174129353234,0.08259587020648967,0.5428423244118963
KNN,"{'model__n_neighbors': 75, 'model__p': 1, 'model__weights': 'uniform', 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.2}",0.9753999999999999,0.0016015617378047136,0.039323702364209276,0.00903807758199116,0.5853263515825113,0.02292655451233939,0.09528214616096206,0.022326583508135375,0.07154591023012076,0.010059370344082478,0.08137102507563729,0.01387913430113366,0.5404834249383824,0.010410304838819308,0.9745833333333334,0.017319592728152047,0.5720688277510209,0.057971014492753624,0.04371584699453552,0.04984423676012461,0.5216090108713979
Logistic Regression,{'model__C': 0.5},0.6999791666666667,0.005383472005437861,0.02714280302321803,0.002976194129358525,0.6421912443328127,0.021005900575705543,0.5000655200655201,0.03154233198351097,0.019220257033610216,0.0008298394581347422,0.03701713010191084,0.0016252890031715236,0.601189890450866,0.01319980469539849,0.7010833333333333,0.019772489056484793,0.5965151170831715,0.427536231884058,0.016540510232688533,0.03184885290148448,0.5659009771795943
Support Vector Machine,{'model__C': 0.25},0.6963541666666667,0.004830458915396484,0.025791129944925724,0.0022271967076910224,0.6380877832577146,0.02154145466628712,0.5018509418509419,0.03271977870862159,0.019056473723338598,0.0008950744199363734,0.036718173435058454,0.0017487699274942325,0.6002383939584187,0.013964751658943654,0.6999166666666666,0.018699423155072874,0.5932034825615349,0.427536231884058,0.016475844736107234,0.03172895939768755,0.565310857469596
