model_family,best_params,cv_mean_accuracy,cv_std_accuracy,cv_mean_average_precision,cv_std_average_precision,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_f1,cv_std_f1,cv_mean_balanced_accuracy,cv_std_balanced_accuracy,holdout_accuracy,holdout_average_precision,holdout_roc_auc,holdout_recall,holdout_precision,holdout_f1,holdout_balanced_accuracy
Random Forest,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10, 'model__min_samples_split': 5}",0.7796041666666667,0.0011833810142975983,0.41248652251839885,0.006141771317126763,0.8025804346663395,0.0013809385486267787,0.5998674618952948,0.0051485552285102714,0.374482186365668,0.0022686015180968674,0.4611032528003488,0.003028694783506656,0.7064965785561014,0.0025161961296176834,0.7781666666666667,0.4131411976457803,0.8052690224630539,0.6130400212032865,0.37445361826129187,0.46492462311557786,0.7110041160053115
Logistic Regression,{'model__C': 0.35},0.69475,0.002788166337896282,0.40292330389642517,0.0017850592907104861,0.8031173401235565,0.002253654822065902,0.7758117958913189,0.005434870391998064,0.3111381238949382,0.002029901215841866,0.4441420346681735,0.002253168699272612,0.7277217427114484,0.0021955482949183995,0.6945416666666666,0.41078777362881086,0.8050005614122278,0.7824012721971906,0.3119847812301839,0.4460899131091802,0.7302771180286887
Support Vector Machine,{'model__C': 0.5},0.68978125,0.0024478945034457785,0.4023692522983916,0.0017783761744418886,0.8029868414446375,0.0025575365288228124,0.7849569251159709,0.005167286597645601,0.308625549847026,0.0017655078001061442,0.4430471415214779,0.002056545685790314,0.7284937882284834,0.0020994352941682663,0.6890416666666667,0.41122651243704034,0.8048697377529419,0.7890272992313808,0.3086893405226047,0.44376537228888724,0.7297091803419473
KNN,"{'model__n_neighbors': 71, 'model__p': 1, 'model__weights': 'distance', 'smote__sampling_strategy': 0.65}",0.7305333333333334,0.005397941994665891,0.3167693018127592,0.014546252067888593,0.7361539581510749,0.011877254464918852,0.5471031703191911,0.032014268713333516,0.30238163427197084,0.009998270737324922,0.3893775364652218,0.015767191393638483,0.6559280748413128,0.014297846275840064,0.7315416666666666,0.3155733724269038,0.7397527068566889,0.5481049562682215,0.3038495445195416,0.3909632290386615,0.6569317978552756
