feature_group,importance
Issue,0.387068
Sub-issue,0.317347
Sub-product,0.068578
Product,0.064499
received,0.061695
narrative,0.055726
Submitted via,0.01645
State,0.011384
zip3,0.009272
Tags,0.00798
