max_depth,min_samples_leaf,cv_mean_f1,cv_mean_precision,cv_mean_recall
22,2,0.4304,0.3327,0.6098
None,5,0.4299,0.3311,0.6128
22,5,0.428,0.3174,0.6576
22,10,0.4272,0.311,0.6824
None,10,0.427,0.3159,0.6585
None,2,0.4253,0.3622,0.5153
14,5,0.4245,0.3093,0.6777
14,10,0.423,0.3063,0.6842
14,2,0.4218,0.3111,0.6558
