Complaint ID,Product,Sub-product,Issue,Sub-issue,Company,Submitted via,Consumer complaint narrative,target_relief,predicted_label,predicted_proba,error_type,narrative_present,narrative_word_count,failure_category
3107963,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,M&T BANK CORPORATION,Web,I open a dispute with my Bank ( M & T Bank ) on XX/XX/2018 for an unauthorized charge that was placed on XX/XX/2018 on my debt card after losing my wallet which contained my debt card and driver license. I received a letter from my bank dated XX/XX/2018 with the results from the investigated claim # XXXX and since there was a photocopy of my driver license and an account that was supposedly created in XXXX with a company i have never heard of or used it has to be me and would not honor my claim and would not reimburse me in the amount of {$300.00}. I faxed a request for a re-investigating and M & T bank would not honor my request.,1,0,0.49969155201694776,false_negative,True,125,likely systematic minority-class miss
7168942,Credit card or prepaid card,General-purpose credit card or charge card,Fees or interest,Problem with fees,"BANK OF AMERICA, NATIONAL ASSOCIATION",Web,"On XX/XX/ i was charged a "" cash equivalent transaction fee '' in the amount of XXXX after buying a purse online for XXXX via XXXX... .this was done on a bank of America credit card . I called today and spent 54 minutes on the phone with 2 representatives who told me it was processed as a cash advance despite the fact the checkout clearly showed a visa logo. The representatives told me they were unwilling to refund the fee and know that it was a mistake but sometimes it happens and it is the problem of the customer and they refused to refund the fee. If there is a visa logo it should be processed as a credit card same as anywhere else, I want this fee reversed.",0,1,0.8719647044290997,false_positive,True,130,aggressive positive flag / ambiguous case
3978352,Credit card or prepaid card,Store credit card,Incorrect information on your report,Account information incorrect,"CITIBANK, N.A.",Web,Paid in full XX/XX/12 Sent check and cashed,1,0,0.1231521018519983,false_negative,True,8,sparse-information edge case
