ablation,cv_mean_f1,cv_mean_precision,cv_mean_recall,feature_count,f1_drop_vs_all_features
no_narrative_size,0.4211,0.3157,0.6323,13,-0.0025
no_sentiment,0.4198,0.3184,0.616,14,-0.0012
all_features,0.4186,0.322,0.5979,15,0.0
no_product_context,0.417,0.3225,0.5901,13,0.0015
no_issue_context,0.3493,0.2849,0.4511,13,0.0693
no_company,0.3331,0.2838,0.4033,14,0.0854
