model_family,best_params,cv_mean_accuracy,cv_std_accuracy,cv_mean_average_precision,cv_std_average_precision,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_f1,cv_std_f1,cv_mean_balanced_accuracy,cv_std_balanced_accuracy,holdout_accuracy,holdout_average_precision,holdout_roc_auc,holdout_recall,holdout_precision,holdout_f1,holdout_balanced_accuracy
Random Forest,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.7893,0.0011,0.8686,0.0011,0.8618,0.0011,0.9308,0.0006,0.7563,0.001,0.8345,0.0008,0.7659,0.0012,0.79,0.8664,0.8609,0.936,0.755,0.8358,0.7659
Support Vector Machine,{'model__C': 0.5},0.7904,0.0017,0.8663,0.0012,0.8606,0.0011,0.8952,0.0018,0.7734,0.0014,0.8298,0.0014,0.7731,0.0018,0.7904,0.8649,0.8591,0.896,0.773,0.83,0.773
Logistic Regression,{'model__C': 1.0},0.7899,0.0016,0.8682,0.0011,0.8609,0.0011,0.8918,0.0021,0.7744,0.0014,0.829,0.0014,0.773,0.0017,0.791,0.8666,0.8594,0.894,0.7746,0.83,0.7739
KNN,"{'model__n_neighbors': 35, 'model__p': 2, 'model__weights': 'distance'}",0.7477,0.007,0.8015,0.0025,0.8,0.0052,0.9015,0.0041,0.7242,0.0068,0.8031,0.0047,0.7222,0.008,0.7506,0.7997,0.802,0.9005,0.7275,0.8048,0.7259
