model_family,best_params,cv_mean_accuracy,cv_std_accuracy,cv_mean_average_precision,cv_std_average_precision,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_f1,cv_std_f1,cv_mean_balanced_accuracy,cv_std_balanced_accuracy,holdout_accuracy,holdout_average_precision,holdout_roc_auc,holdout_recall,holdout_precision,holdout_f1,holdout_balanced_accuracy
Random Forest,"{'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10}",0.613,0.012642108869435814,0.27535141177435013,0.009499167963384587,0.7588041370291627,0.007223896865603101,0.8107038652772239,0.024779027519352414,0.21757489316023082,0.0044126358253581115,0.3429929004369399,0.00580083887863269,0.6977845236695316,0.007907089368926729,0.5966666666666667,0.29220478617675466,0.7574457247760976,0.8422459893048129,0.21487039563437926,0.3423913043478261,0.7019683868839373
Logistic Regression,{'model__C': 0.5},0.6258750000000001,0.004168333000133236,0.27810088908753056,0.008977411612173728,0.7575110771929262,0.004732240049364631,0.7802665023181996,0.003633536382131359,0.21897769645717144,0.002596731123232998,0.34197639014638553,0.003471363490071706,0.6920848480638447,0.0037140638013247935,0.6168333333333333,0.2986107701108649,0.757432615433489,0.8048128342245989,0.21851179673321233,0.3437053953753925,0.6974368816972195
Support Vector Machine,{'model__C': 0.25},0.61925,0.0057200305943238055,0.27726050078249104,0.009910617347833342,0.7573430928354208,0.004916948499139564,0.7892969403525166,0.002233927968828504,0.2171872154024186,0.003164993638541804,0.3406336452235164,0.0040966200736801545,0.692173623859952,0.0042105495457274425,0.6101666666666666,0.297084178972016,0.7568789684398304,0.81951871657754,0.21760738374156904,0.3438990182328191,0.6999345296520603
KNN,"{'model__n_neighbors': 25, 'model__p': 2, 'model__weights': 'distance', 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.5}",0.6800019347871121,0.009180278814842855,0.18448426311194832,0.004348616527796719,0.6416349287732308,0.018515230234394647,0.44468444196705065,0.027789079709709036,0.18097955624236098,0.010844325063012994,0.2572274346955769,0.015381288572706842,0.5790934204352046,0.015548147291939464,0.694,0.18985774542268924,0.6521687943681245,0.4585561497326203,0.19334836527621196,0.2720063441712926,0.593044259177049
