max_depth,min_samples_leaf,cv_mean_f1,cv_mean_precision,cv_mean_recall
22,10,0.4357,0.3576,0.5578
None,10,0.4344,0.3702,0.5257
14,5,0.4338,0.3426,0.5916
14,10,0.4338,0.3302,0.6322
14,2,0.4265,0.3509,0.5439
22,5,0.4169,0.3919,0.4457
None,5,0.4016,0.4194,0.3855
22,2,0.3434,0.4445,0.28
None,2,0.2407,0.4985,0.1587
