Complaint ID,Product,Sub-product,Issue,Sub-issue,Company,State,Submitted via,Consumer complaint narrative,target_relief,predicted_label,predicted_proba,error_type,narrative_present,narrative_word_count,failure_category
12351675,Credit card,General-purpose credit card or charge card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,Web,,1,0,0.499987823309894,false_negative,False,0,likely systematic minority-class miss
8037994,Credit card,General-purpose credit card or charge card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,"EQUIFAX, INC.",IL,Web,"Please review the attached documents. I want the bureau to initiate an investigation into these accounts. Despite my punctuality, they are erroneously reporting me as late.",0,1,0.5195405998413278,false_positive,True,26,aggressive positive flag / ambiguous case
12453512,Credit card,General-purpose credit card or charge card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,"EQUIFAX, INC.",NV,Web,,1,0,0.4941654820385922,false_negative,False,0,sparse-information edge case
