metric,cv_mean,cv_std,holdout
accuracy,0.7818,0.0016,0.7816
average_precision,0.4072,0.0092,0.4088
balanced_accuracy,0.6978,0.0031,0.7012
f1,0.4532,0.0037,0.4567
precision,0.3739,0.0028,0.375
recall,0.5751,0.0071,0.5839
roc_auc,0.7974,0.0026,0.7981
