model_family,best_params,cv_mean_accuracy,cv_std_accuracy,cv_mean_average_precision,cv_std_average_precision,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_f1,cv_std_f1,cv_mean_balanced_accuracy,cv_std_balanced_accuracy,holdout_accuracy,holdout_average_precision,holdout_roc_auc,holdout_recall,holdout_precision,holdout_f1,holdout_balanced_accuracy
Random Forest,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.79225,0.0010366546087187396,0.3649360251174999,0.006139790122564657,0.8127287609271182,0.002393743309846478,0.6038741038986546,0.010577982692361152,0.3224933363539352,0.00332371569943146,0.4204440509786342,0.005365170974308191,0.711493226407978,0.005079238582770446,0.7955,0.3724594036004409,0.815425328018331,0.6123539232053422,0.32861494355850207,0.427705223880597,0.7169839123286887
Logistic Regression,{'model__C': 0.15},0.6869895833333334,0.0014883080205014337,0.34671359502976756,0.007149766135612299,0.8105089670474657,0.003411819207643051,0.8056928074394607,0.008359499392052664,0.258278196127084,0.00130910475652244,0.39115843648615395,0.002305565997920095,0.737877778046554,0.003362006523357801,0.6872916666666666,0.36310448111912386,0.8131342764005233,0.8053422370617697,0.2584101135633169,0.3912726092951578,0.7379008257434533
Support Vector Machine,{'model__C': 0.1},0.6788333333333333,0.0011672245689859524,0.346209814552836,0.006839233416346849,0.8104717837953649,0.003181077095170702,0.8132882784058817,0.007769674310758036,0.25415030992501253,0.0006807451762363406,0.38727348512228044,0.0015920021294520692,0.7364743086123633,0.002790406865484385,0.681375,0.36368796188809127,0.8132939649077909,0.8143572621035059,0.2559286463798531,0.3894610778443114,0.7383854865623456
KNN,"{'model__n_neighbors': 71, 'model__p': 1, 'model__weights': 'distance', 'smote__sampling_strategy': 0.65}",0.7430666666666668,0.004850658603621674,0.21458489188455215,0.007233826712206148,0.7013856670253968,0.01125113676137733,0.4561868092691622,0.03515869151868547,0.23120272539876813,0.013101599721862563,0.306829480274469,0.019344642357961683,0.6200800147241615,0.01712025141385624,0.74175,0.21706882024105106,0.6990067791316084,0.4604340567612688,0.23133702398926353,0.30794997766860205,0.6211477591590204
