metric,cv_mean,cv_std,holdout
accuracy,0.7796,0.0012,0.7782
average_precision,0.4125,0.0061,0.4131
balanced_accuracy,0.7065,0.0025,0.711
f1,0.4611,0.003,0.4649
precision,0.3745,0.0023,0.3745
recall,0.5999,0.0051,0.613
roc_auc,0.8026,0.0014,0.8053
