model_family,best_params,cv_mean_accuracy,cv_std_accuracy,cv_mean_average_precision,cv_std_average_precision,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_f1,cv_std_f1,cv_mean_balanced_accuracy,cv_std_balanced_accuracy,holdout_accuracy,holdout_average_precision,holdout_roc_auc,holdout_recall,holdout_precision,holdout_f1,holdout_balanced_accuracy
Random Forest,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.7818437500000001,0.0015543537644307263,0.4072314415138183,0.0091797426050023,0.7973550818026787,0.002591418267697586,0.5751491053677932,0.007141701120795786,0.3739204928435921,0.0027681058562370893,0.45318940615893083,0.0036960625676181226,0.6977710673297995,0.00313006701992846,0.781625,0.4087511119730265,0.7980991809749693,0.5838855022528492,0.37504256043581885,0.4567222970871774,0.7011977073730257
Logistic Regression,{'model__C': 0.15},0.6842291666666667,0.002968914469128403,0.3816208160624663,0.004909015964940356,0.7890301375531265,0.0034017280913722454,0.7674618952948974,0.010217905678914401,0.30170081438285357,0.003045133120392326,0.43312330053442005,0.004437693865367293,0.7180839324453723,0.004896069244739896,0.6816666666666666,0.3915199800750434,0.790104065477556,0.7635833554200901,0.29920033232942156,0.4299358304730637,0.7149849342483354
Support Vector Machine,{'model__C': 0.1},0.6760729166666667,0.0016894921368729723,0.3815195357259515,0.004896095805259454,0.789125675232173,0.003562963945730482,0.7772034459907223,0.010103803163608581,0.2971816103673263,0.0023132524556312684,0.42995404916730867,0.003841613315879001,0.7172075813565032,0.004572333347052436,0.6745416666666667,0.3924314227882971,0.7901011041246916,0.7725947521865889,0.2953992703688691,0.42738802140605525,0.7144231485756201
KNN,"{'model__n_neighbors': 71, 'model__p': 1, 'model__weights': 'distance', 'smote__sampling_strategy': 0.65}",0.7361333333333333,0.011617228585166091,0.26090352242213594,0.014910504316808808,0.6736836711038952,0.013165057841113114,0.4084026053474396,0.010984051399410557,0.27371503888401083,0.016174797131949425,0.32763014771230703,0.014573087675396088,0.6028332949806805,0.010533092021161232,0.732875,0.2569628956772996,0.6758030058806047,0.41240392260800424,0.27060869565217394,0.32678777696104166,0.6025286533492881
