model_family,cv_mean_accuracy,cv_std_accuracy,cv_mean_average_precision,cv_std_average_precision,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_f1,cv_std_f1,holdout_accuracy,holdout_average_precision,holdout_roc_auc,holdout_recall,holdout_precision,holdout_f1
Random Forest,0.7796,0.0012,0.4125,0.0061,0.8026,0.0014,0.5999,0.0051,0.3745,0.0023,0.4611,0.003,0.7782,0.4131,0.8053,0.613,0.3745,0.4649
Logistic Regression,0.6948,0.0028,0.4029,0.0018,0.8031,0.0023,0.7758,0.0054,0.3111,0.002,0.4441,0.0023,0.6945,0.4108,0.805,0.7824,0.312,0.4461
Support Vector Machine,0.6898,0.0024,0.4024,0.0018,0.803,0.0026,0.785,0.0052,0.3086,0.0018,0.443,0.0021,0.689,0.4112,0.8049,0.789,0.3087,0.4438
KNN,0.7305,0.0054,0.3168,0.0145,0.7362,0.0119,0.5471,0.032,0.3024,0.01,0.3894,0.0158,0.7315,0.3156,0.7398,0.5481,0.3038,0.391
