model_family,best_params,cv_mean_accuracy,cv_std_accuracy,cv_mean_average_precision,cv_std_average_precision,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_f1,cv_std_f1,cv_mean_balanced_accuracy,cv_std_balanced_accuracy,holdout_accuracy,holdout_average_precision,holdout_roc_auc,holdout_recall,holdout_precision,holdout_f1,holdout_balanced_accuracy
Random Forest,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.7892691707603884,0.001131435283851404,0.8685884924130104,0.0010968177058936631,0.8618272225901958,0.0011173161669115982,0.9308182841219655,0.0005547469822363977,0.7563142522879834,0.0009964406156594083,0.8345414630027191,0.000819826359712404,0.7658654993230672,0.001232109698668339,0.7900340628633202,0.8664215607863944,0.8609265358967656,0.9360151477260548,0.7549779557963289,0.8358056592337385,0.7659016601912267
Support Vector Machine,{'model__C': 0.5},0.7903808062985324,0.0017051702603749178,0.8662675621916723,0.0012024307588011434,0.8606394198449435,0.0011046138576831992,0.895191397388493,0.0018109593523115096,0.7733647180651858,0.0014326026944270758,0.829829779017968,0.0013818519552168584,0.7730514577750109,0.0017644509311874374,0.7904216044220531,0.8648716395421526,0.8591293714331846,0.896038012218213,0.7730074585465081,0.8299882522295945,0.7729619610435047
Logistic Regression,{'model__C': 1.0},0.7898861800039497,0.0016383532109630274,0.8681849870624344,0.0010699552105047946,0.8608723157323195,0.0010818190893554216,0.891806441241091,0.0021209492982330234,0.7743904301009298,0.001413365501912129,0.8289599034674014,0.001363376935723579,0.7730347145205148,0.0016812585268562465,0.7909723213739368,0.8665730719689626,0.8594247781637959,0.8939659176163767,0.7746339349286444,0.8300328390884665,0.7739462598159845
KNN,"{'model__n_neighbors': 35, 'model__p': 2, 'model__weights': 'distance'}",0.7476504662615655,0.007013069880117658,0.8014748952438676,0.002472528403101227,0.7999666788736958,0.0051853916682339605,0.9014798039381594,0.004141985490843047,0.7241739280147085,0.006771976153569486,0.8031383625716394,0.004680849312944042,0.7222115417123028,0.00798703822989487,0.7506476023415669,0.7996817362867494,0.802037915488944,0.9005394591118574,0.72751673978296,0.8048340490748576,0.7258687027447479
