ablation,cv_mean_f1,cv_mean_precision,cv_mean_recall,feature_count,f1_drop_vs_all_features
no_narrative_size,0.457,0.3633,0.6159,13,-0.0038
all_features,0.4532,0.3739,0.5751,15,0.0
no_sentiment,0.4531,0.3662,0.5942,14,0.0001
no_product_context,0.4508,0.3701,0.5767,13,0.0023
no_issue_context,0.3634,0.3435,0.3859,13,0.0898
no_company,0.3287,0.3433,0.3153,14,0.1245
