ablation,cv_mean_f1,cv_mean_precision,cv_mean_recall,feature_count,f1_drop_vs_all_features
no_narrative_size,0.4604,0.3702,0.6091,33,-0.0
all_features,0.4604,0.3755,0.5952,35,0.0
no_sentiment,0.4598,0.3722,0.6014,34,0.0006
no_product_context,0.4579,0.3765,0.5842,33,0.0025
no_issue_context,0.4398,0.3859,0.5114,33,0.0206
no_company,0.4137,0.362,0.4828,34,0.0467
