max_depth,min_samples_leaf,cv_mean_f1,cv_mean_precision,cv_mean_recall
20,1,0.8358,0.7603,0.9279
20,5,0.8355,0.7568,0.9326
None,5,0.8342,0.7657,0.9163
12,1,0.8311,0.7363,0.9539
12,5,0.8308,0.7358,0.954
20,20,0.8303,0.7429,0.9411
None,20,0.8302,0.7448,0.9375
None,1,0.8292,0.7755,0.8909
12,20,0.8271,0.7286,0.9564
