Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,cleaned_consumer_narrative,narrative_sentiment_score
2025-06-02,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,[No Narrative],Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,MN,55432,,Consent not provided,Web,2025-06-02,Closed with explanation,True,N/A,13849626,[No Narrative],0.0
2025-07-02,Credit card,General-purpose credit card or charge card,Fees or interest,Problem with fees,"To Whom It May Concern : American Express ACCT. XXXX letter is in response to your recent reporting to credit bureaus regarding the closed account on XXXX XXXX, [ Account closed by credit grantor ] which you claim [ such as I owe/balance {$2100.00} ] included late fees after closed account. I request that you provide me with a copy of any viable evidence showing the account is being reported accurately. I am requesting the method of verification procedure you used to determine the accuracy and completeness of the information you are furnishing on my credit report .. As per FTC opinion letter from Attorney XXXX XXXX XXXX XXXX you should be aware that a printout of a bill or itemized document does not constitute verification. I am again formally requesting a copy of any documents, showing that I have a legally binding contractual obligation to pay you the alleged amount balance [ {$2100.00} ]. I am also requesting the record that reflects the process by which my signature was generated/executed. Under the FCRA, furnishers of credit data are required to report only complete and accurate information. Reporting a balance higher that of the maximum credit limit is clear evidence of inaccuracy. FCRA 1681g and 1681h by failing to provide requested disclosures, contracts, and original documentation validating the debt. Previously, the CFPB took action against American Express for failing to provide proper disclosures about credit card fees and penalties. This case highlights the importance of transparency and the consequences of failing to notify consumers of changes to their account terms.",,AMERICAN EXPRESS COMPANY,TX,78660,"Older American, Servicemember",Consent provided,Web,2025-07-02,Closed with non-monetary relief,True,N/A,14424467,"To Whom It May Concern : American Express ACCT. REDACTED letter is in response to your recent reporting to credit bureaus regarding the closed account on REDACTED REDACTED , [ Account closed by credit grantor ] which you claim [ such as I owe/balance {$2100.00} ] included late fees after closed account. I request that you provide me with a copy of any viable evidence showing the account is being reported accurately. I am requesting the method of verification procedure you used to determine the accuracy and completeness of the information you are furnishing on my credit report .. As per FTC opinion letter from Attorney REDACTED REDACTED REDACTED REDACTED you should be aware that a printout of a bill or itemized document does not constitute verification. I am again formally requesting a copy of any documents, showing that I have a legally binding contractual obligation to pay you the alleged amount balance [ {$2100.00} ]. I am also requesting the record that reflects the process by which my signature was generated/executed. Under the FCRA, furnishers of credit data are required to report only complete and accurate information. Reporting a balance higher that of the maximum credit limit is clear evidence of inaccuracy. FCRA 1681g and 1681h by failing to provide requested disclosures, contracts, and original documentation validating the debt. Previously, the CFPB took action against American Express for failing to provide proper disclosures about credit card fees and penalties. This case highlights the importance of transparency and the consequences of failing to notify consumers of changes to their account terms.",0.875
2025-07-08,Checking or savings account,Checking account,Managing an account,Problem accessing account,[No Narrative],Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NE,69101,,Consent not provided,Web,2025-08-06,Closed with explanation,True,N/A,14518261,[No Narrative],0.0
2025-07-28,Checking or savings account,Checking account,Opening an account,Didn't receive terms that were advertised,"I opened a business checking account on XX/XX/XXXX with a promotion of {$1000.00} bonus for maintaining a {$30000.00} average daily balance for the first three statement cycles. 

I met this requirement by holding a {$300000.00} average daily balance in XXXX, XXXX, and XX/XX/XXXX. 

When I was not awarded this bonus in a reasonable amount of time, I contacted the bank to inquire about it. The representative told me that the promotion was not applied to my account. This is false. I confirmed when I opened the account that the promotion was attached. They transferred me to another department and had me wait for a call back for over a week. 

The bank called me, and now they are saying that the first partial month I'm which the account was opened ( XXXX ) was used to check on the requirements. 

The terms do not state that a partial month counts as the first statement cycle. A statement cycle is defined as a full statement period. I would have needed to deposit {$30000.00} on the same day that the account was opened to meet this, which is unreasonable and impossible, when they forced me to open the account via a video call. 

I am asking that PNC honors that the requirements of this promotion were met by my account and that I be awarded the {$1000.00} bonus.",,PNC Bank N.A.,PA,17202,,Consent provided,Web,2025-07-28,Closed with explanation,True,N/A,14924959,"I opened a business checking account on REDACTED_DATE with a promotion of {$1000.00} bonus for maintaining a {$30000.00} average daily balance for the first three statement cycles. I met this requirement by holding a {$300000.00} average daily balance in REDACTED , REDACTED , and REDACTED_DATE . When I was not awarded this bonus in a reasonable amount of time, I contacted the bank to inquire about it. The representative told me that the promotion was not applied to my account. This is false. I confirmed when I opened the account that the promotion was attached. They transferred me to another department and had me wait for a call back for over a week. The bank called me, and now they are saying that the first partial month I'm which the account was opened ( REDACTED ) was used to check on the requirements. The terms do not state that a partial month counts as the first statement cycle. A statement cycle is defined as a full statement period. I would have needed to deposit {$30000.00} on the same day that the account was opened to meet this, which is unreasonable and impossible, when they forced me to open the account via a video call. I am asking that PNC honors that the requirements of this promotion were met by my account and that I be awarded the {$1000.00} bonus.",0.9164
2025-08-20,Checking or savings account,Checking account,Managing an account,Problem accessing account,[No Narrative],Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MN,55016,,Consent not provided,Web,2025-08-20,Closed with explanation,True,N/A,15367753,[No Narrative],0.0
2025-09-09,Credit card,Store credit card,Getting a credit card,Card opened without my consent or knowledge,"I was shopping for an engagement ring at XXXX XXXX in XXXX XXXX XXXX. I was interested in their financing plan, which had a reportedly zero interest for military. I talked to them to see if it was applicable to me, and gave some information. Today I recieved an unsolicited credit card in the mail and when I called to cancel it was told that their system was frozen. 

The card has a fee AND a 36 % interest rate. I did not ask for this card, and resent that it could be used against ( or for ) my credit. I do not want this card.",,"Bread Financial Holdings, Inc.",SC,29466,Servicemember,Consent provided,Web,2025-09-09,Closed with non-monetary relief,True,N/A,15787714,"I was shopping for an engagement ring at REDACTED REDACTED in REDACTED REDACTED REDACTED . I was interested in their financing plan, which had a reportedly zero interest for military. I talked to them to see if it was applicable to me, and gave some information. Today I recieved an unsolicited credit card in the mail and when I called to cancel it was told that their system was frozen. The card has a fee AND a 36 % interest rate. I did not ask for this card, and resent that it could be used against ( or for ) my credit. I do not want this card.",0.9182
2025-09-09,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Overcharged for something you did purchase with the card,"I purchased a service from a company for {$140.00} on XX/XX/year> in which the transaction booted me out, so I went in to try and redo the purchase, again a second time I was booted out but discovered that I was charged for both transactions of {$140.00} each. 

I called the company, with no answer so I called my credit card company and disputed the charges. My credit card company awarded a temporary credit of {$290.00} on XX/XX/year> for the 2 charges. 

The company subsequently responded and refunded a credit on XX/XX/year> for {$140.00}. 

Since the company refunded a payment, Discover reposted a charge of {$140.00} a repost by Discover Credit card company on XX/XX/year> which was the initial charge for one of the original post. Showing 3 debit charges and 3 credits for XXXX Billing cycle. 

My account was paid in full of the before the end of the month, and the only payment due was the single repost of {$140.00} that was still pending to correct the credit refund from the orginal purchase. However, Discover reposted again 2 additional payments on my new cycle starting out with {$290.00}. Which should have only been one charge not two. 
Now I have been charged XXXX payments of {$140.00} on XX/XX/year> and only 2 credits on XX/XX/year> and one credit on XX/XX/year>. 

This does not add up equally and I am being over charged {$140.00}. I have had this issue with Discover before, and It is not ethically correct. I pay my bill off every month in full, but I couldn't pay this charge because it was still pending. 

Either way, it shows 5 debit charges on XX/XX/year> and only offset by 3 additional credits. When there should have only been XXXX additional charge to account for the original purchase. I have my statement and also the refund email from the company I originally purchase the service from. I want my money back and am very upset that Discover is trying to over charge me. I am very diligent about keeping track of my charges. XXXXough is Enough. Please Help Thank you",,DISCOVER BANK,OH,45044,,Consent provided,Web,2025-09-16,Closed with explanation,True,N/A,15818395,"I purchased a service from a company for {$140.00} on REDACTED / REDACTED /year> in which the transaction booted me out, so I went in to try and redo the purchase, again a second time I was booted out but discovered that I was charged for both transactions of {$140.00} each. I called the company, with no answer so I called my credit card company and disputed the charges. My credit card company awarded a temporary credit of {$290.00} on REDACTED / REDACTED /year> for the 2 charges. The company subsequently responded and refunded a credit on REDACTED / REDACTED /year> for {$140.00}. Since the company refunded a payment, Discover reposted a charge of {$140.00} a repost by Discover Credit card company on REDACTED / REDACTED /year> which was the initial charge for one of the original post. Showing 3 debit charges and 3 credits for REDACTED Billing cycle. My account was paid in full of the before the end of the month, and the only payment due was the single repost of {$140.00} that was still pending to correct the credit refund from the orginal purchase. However, Discover reposted again 2 additional payments on my new cycle starting out with {$290.00}. Which should have only been one charge not two. Now I have been charged REDACTED payments of {$140.00} on REDACTED / REDACTED /year> and only 2 credits on REDACTED / REDACTED /year> and one credit on REDACTED / REDACTED /year>. This does not add up equally and I am being over charged {$140.00}. I have had this issue with Discover before, and It is not ethically correct. I pay my bill off every month in full, but I couldn't pay this charge because it was still pending. Either way, it shows 5 debit charges on REDACTED / REDACTED /year> and only offset by 3 additional credits. When there should have only been REDACTED additional charge to account for the original purchase. I have my statement and also the refund email from the company I originally purchase the service from. I want my money back and am very upset that Discover is trying to over charge me. I am very diligent about keeping track of my charges. REDACTED ough is Enough. Please Help Thank you",0.9787
2025-09-16,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,"Consumer Name : XXXX XXXX XXXX, Consumer Social Security Number : XXXX, Consumer Date of Birth : XX/XX/XXXX, Contents of Complaint : This CFPB complaint has been filed to request pursuant to FCRA XXXX ( XXXX U.S.C. XXXX ) that you, the TransUnion credit reporting agency , block information appearing on my consumer credit report that is the result of identity theft and fraud within XXXX business days of you receiving this complaint. This fraudulent account is a personal credit card account opened at XXXX  XXXX on XX/XX/XXXX under the account number XXXX. I've attached a copy of the consumer XXXX credit report maintained by you which shows the aforementioned fraudulent items. I do not recognize the aforementioned accounts as reported. The aforementioned accounts appearing on my consumer credit report maintained by you were not opened, made, or initiated by me. The aforementioned accounts are the result of identity theft and fraud. I have attached a copy of the FTC Identity Theft Criminal Complaint # XXXX as proof from the XXXX Federal Trade Commission that the aforementioned consumer credit account is the result of identity theft and fraud. I request, pursuant to FCRA XXXX ( XXXX U.S.C. XXXX ), that the TransUnion credit reporting agency block all of the accounts identified in this CFPB complaint from my consumer credit file within XXXX business days of receiving said complaint. I request that all written confirmation regarding this CFPB complaint be sent to me via email to the email address XXXX.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",KS,660XX,,Consent provided,Web,2025-09-16,Closed with explanation,True,N/A,15961414,"Consumer Name : REDACTED REDACTED REDACTED , Consumer Social Security Number : REDACTED , Consumer Date of Birth : REDACTED_DATE , Contents of Complaint : This CFPB complaint has been filed to request pursuant to FCRA REDACTED ( REDACTED U.S.C. REDACTED ) that you, the TransUnion credit reporting agency , block information appearing on my consumer credit report that is the result of identity theft and fraud within REDACTED business days of you receiving this complaint. This fraudulent account is a personal credit card account opened at REDACTED REDACTED on REDACTED_DATE under the account number REDACTED . I've attached a copy of the consumer REDACTED credit report maintained by you which shows the aforementioned fraudulent items. I do not recognize the aforementioned accounts as reported. The aforementioned accounts appearing on my consumer credit report maintained by you were not opened, made, or initiated by me. The aforementioned accounts are the result of identity theft and fraud. I have attached a copy of the FTC Identity Theft Criminal Complaint # REDACTED as proof from the REDACTED Federal Trade Commission that the aforementioned consumer credit account is the result of identity theft and fraud. I request, pursuant to FCRA REDACTED ( REDACTED U.S.C. REDACTED ), that the TransUnion credit reporting agency block all of the accounts identified in this CFPB complaint from my consumer credit file within REDACTED business days of receiving said complaint. I request that all written confirmation regarding this CFPB complaint be sent to me via email to the email address REDACTED .",-0.961
2025-10-02,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,[No Narrative],Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,12550,,Consent not provided,Web,2025-10-03,Closed with monetary relief,True,N/A,16317412,[No Narrative],0.0
2025-10-07,Checking or savings account,Savings account,Managing an account,Banking errors,[No Narrative],,"Block, Inc.",IL,60620,,,Web,2025-10-07,Closed with explanation,True,N/A,16428186,[No Narrative],0.0
