ablation,cv_mean_f1,cv_mean_precision,cv_mean_recall,feature_count,f1_drop_vs_all_features
all_features,0.1081,0.094,0.1281,17,0.0
no_geography,0.0985,0.0812,0.1263,15,0.0097
no_narrative,0.0954,0.0756,0.1299,14,0.0127
no_issue_context,0.0952,0.0855,0.1082,15,0.0129
no_product_context,0.0823,0.079,0.0866,15,0.0258
