max_depth,min_samples_leaf,cv_mean_f1,cv_mean_precision,cv_mean_recall
20,20,0.0966,0.0841,0.116
None,20,0.0934,0.0834,0.108
12,20,0.0917,0.069,0.14
12,1,0.0657,0.0826,0.056
12,5,0.0627,0.0811,0.052
20,5,0.0515,0.1503,0.0319
20,1,0.0385,0.1041,0.024
None,5,0.0278,0.1047,0.016
None,1,0.0,0.0,0.0
