max_depth,min_samples_leaf,cv_mean_f1,cv_mean_precision,cv_mean_recall
None,1,0.1925,0.5238,0.1179
20,1,0.1445,0.598,0.0822
None,5,0.1368,0.6038,0.0773
20,5,0.1195,0.6064,0.0664
None,20,0.0859,0.6303,0.0461
20,20,0.084,0.64,0.045
12,1,0.0764,0.6403,0.0407
12,5,0.0675,0.6588,0.0357
12,20,0.0494,0.7405,0.0262
