metric,cv_mean,cv_std,holdout
accuracy,0.7891,0.0006,0.79
average_precision,0.8693,0.0017,0.8664
balanced_accuracy,0.7655,0.0007,0.7659
f1,0.8345,0.0005,0.8358
precision,0.7558,0.0006,0.755
recall,0.9316,0.0007,0.936
roc_auc,0.8622,0.0015,0.8609
