feature,permutation_importance_mean,permutation_importance_std
Product,0.0,0.0
Sub-product,0.0,0.0
Issue,0.0,0.0
Sub-issue,0.0,0.0
State,0.0,0.0
Submitted via,0.0,0.0
zip3,0.0,0.0
received_year,0.0,0.0
narrative_word_count,0.0,0.0
narrative_char_count,0.0,0.0
narrative_present,0.0,0.0
received_days_since_start,0.0,0.0
received_month,-0.00037,0.000741
received_dayofweek,-0.00074,0.000906
received_quarter,-0.000741,0.000907
received_day,-0.001481,0.00074
