Sub-issue
Account information incorrect
Account opened as a result of fraud
Account opened without my consent or knowledge
Account sold or transferred to another company
Account status incorrect
Add-on products and services
"An existing modification, forbearance plan, short sale, or other loss mitigation relief"
Application denials
Application denied
"Applying for or obtaining a modification, forbearance plan, short sale, or deed-in-lieu"
Banking errors
Billing dispute for services
Bounced checks or returned payments
Can't close your account
Can't stop withdrawals from your account
Can't use card to make purchases
Card company isn't resolving a dispute about a purchase or transfer
Card opened as result of identity theft or fraud
Card opened without my consent or knowledge
Card was charged for something you did not purchase with the card
Cashing a check
Changes in loan terms during or after closing
Changes in loan terms during the application process
Changes in terms from what was offered or advertised
Charged for a purchase or transfer you did not make with the card
Charged too much interest
Closing disclosure or other related disclosures
Company closed your account
Confusing or misleading advertising about the card
Confusing or misleading advertising about the credit card
Confusing or misleading advertising or marketing
Confusing or missing disclosures
Credit card company forcing arbitration
Credit card company isn't resolving a dispute about a purchase on your statement
Credit card company won't increase or decrease your credit limit
Credit card company won't work with you while you're going through financial hardship
Credit inquiries on your report that you don't recognize
Delay in processing application
Delays in the application process
Delays with the closing process
Deposits and withdrawals
Deposits or withdrawals
Didn't receive advertised or promotional terms
Didn't receive services that were advertised
Didn't receive terms that were advertised
Difficulty submitting a dispute or getting information about a dispute over the phone
Don't want a card provided by your employer or the government
"Escrow, taxes, or insurance"
Fee problem
Fees charged
Fees charged for closing account
Fees or costs after closing
Fees or costs during the application process
Filed for bankruptcy
Foreclosure
Funds not handled or disbursed as instructed
Funds not received from closed account
Information belongs to someone else
Information is missing that should be on the report
Interest rate
Investigation took more than 30 days
Late or other fees
Lien release
Loan estimate or other related disclosures
Loan sold or transferred to another company
Money was taken from your account on the wrong day or for the wrong amount
Negative impact of inaccurate appraisal
Non-sufficient funds and associated fees
Old information reappears or never goes away
Other problem
Other problem getting your report or credit score
Overcharged for a purchase or transfer you did make with the card
Overcharged for something you did purchase with the card
Overdraft charges
Overdrafts and overdraft fees
Paying off the loan
Payment process
Personal information incorrect
Privacy issues
Private mortgage insurance (PMI)
Problem accessing account
Problem adding money
Problem canceling credit monitoring or identify theft protection service
Problem during payment process
Problem getting a working replacement card
Problem getting your free annual credit report
Problem lowering your monthly payments
Problem making or receiving payments
Problem using a debit or ATM card
Problem using the card to withdraw money from an ATM
Problem with a check written from your prepaid card account
Problem with balance transfer
Problem with cash advances
Problem with convenience check
Problem with customer service
Problem with direct deposit
Problem with fees
Problem with fees or penalties
Problem with personal statement of dispute
Problem with product or service terms changing
Problem with renewal
Problem with rewards from credit card
Public record information inaccurate
Received unsolicited financial product or insurance offers after opting out
Received unwanted marketing or advertising
Report provided to employer without your written authorization
Reporting company used your report improperly
Sent card you never applied for
Setting up an escrow account for taxes and insurance
Their investigation did not fix an error on your report
Transaction was not authorized
Trouble closing card
Trouble getting a working replacement card
Trouble getting information about the card
"Trouble getting, activating, or registering a card"
Trouble using the card to pay a bill
Trouble using the card to send money to another person
Trouble using the card to spend money in a store or online
"Trying to communicate with the company to fix an issue related to modification, forbearance, short sale, deed-in-lieu, bankruptcy, or foreclosure"
Trying to communicate with the company to fix an issue while managing or servicing your loan
Trying to communicate with the company to fix an issue with the application process
Trying to communicate with the company to fix an issue with the loan closing
Unable to open an account
Unexpected increase in interest rate
Was not notified of investigation status or results
"Was signed up for overdraft on card, but don't want to be"
You never received your bill or did not know a payment was due
